cycle_mid,cycle_end,cumulative_expected_births,effective_total_birth_hazard_per_cycle
4732.681766228638,9465.363532457275,0.0027958094228825,2.9537264081781e-07
14322.2567341708,19179.149935884325,0.0056456893638167,2.933850738089891e-07
24163.70075956258,29148.251583240835,0.0085497794591155,2.9130910668052746e-07
34264.011180544585,39379.77077784833,0.0115090903725413,2.892347516667417e-07
44630.398925070505,49881.02707229269,0.0145238713544889,2.870876490789543e-07
55270.29597490553,60659.56487751838,0.0175949804143055,2.849281707141809e-07
66191.36313573821,71723.16139395803,0.0207227219332624,2.827056748055951e-07
77401.49812806468,83079.83486217131,0.0239078556707091,2.8046361871385306e-07
88908.84401089468,94737.85315961804,0.0271509926541067,2.781893886809126e-07
100721.79796040227,106705.74276118651,0.0304528095464977,2.758896515855453e-07
112849.02041629952,118992.29807141252,0.0338136950223621,2.7354172027917104e-07
125299.44461387831,131606.5911563441,0.0372344313006673,2.711793879588418e-07
138082.2865222167,144557.98188808927,0.040715505649775,2.6877996511797224e-07
151207.05520947656,157856.12853086382,0.0442572434475095,2.6633318859202717e-07
164683.56365617452,171510.9987814852,0.0478600989376626,2.638513163454734e-07
178521.94003342482,185532.88128536445,0.0515242243417033,2.613147987103011e-07
192732.6394781305,199932.39767089655,0.0552504517121986,2.5877448038735683e-07
207326.45638603944,214720.51510118236,0.0590392443639384,2.562052045908438e-07
222314.53724775533,229908.5593943283,0.0628909007099458,2.5359791370542507e-07
237708.39405740553,245508.2287204828,0.0668055004007141,2.509411968242859e-07
253519.9183225574,261531.607924632,0.0707833626884205,2.4825364469164793e-07
269761.3957074147,277991.18349019747,0.0748249310886078,2.4554511652430015e-07
286445.5213448813,294899.859199565,0.0789301931524974,2.4279027727850085e-07
303585.4158477607,312270.97249595635,0.0830995080653388,2.4001426055447696e-07
321194.6420590534,330118.31162215053,0.0873331839864986,2.3721608533487836e-07
339287.2225753787,348456.13352860697,0.091630898110714,2.3436339092715502e-07
357877.65809667803,367299.1826647491,0.0959927510784019,2.3148339401830664e-07
376980.9466361016,386662.710607454,0.1004190735552111,2.2859070361074307e-07
396612.60363920877,406562.49667096353,0.1049094601646739,2.256499941824437e-07
416788.6830681781,427014.8694653927,0.109463969699554,2.2268856433717395e-07
437525.79949175275,448036.7295181128,0.1140825122966569,2.1970190009448263e-07
458841.15124424745,469645.5729703821,0.1187646479925592,2.166768298472072e-07
480752.5447232668,491859.5164761515,0.1235102776881228,2.1363292358833397e-07
503278.4198692817,514697.323262412,0.1283191325038405,2.105655267479873e-07
526437.8769037467,538178.4305450814,0.1331908378783236,2.0747340897670214e-07
550250.7044055582,562322.978266035,0.1381250655749734,2.0436198489515253e-07
