condition_id,N10,N50,N90,quantile_semantics
Peak_300K_735p921495,,,,not_crossed_by_1e8
Peak_300K_770,7511.914600649202,52035.48487964434,204575.75529890857,H_targets_interpolated
Peak_300K_804p139,71.60147594707863,471.3422710189726,1568.679301153446,H_targets_interpolated
DBTT_300K_770,1708.5202213038378,11408.763316252489,39557.0316045221,H_targets_interpolated
weakT_300K_250,8.542267474624008,56.19799373075679,186.68578780954775,H_targets_interpolated
ceramic_300K_zero,0.0001053605157,0.0006931471806,0.002302585093,invalid_zero_load_result_diagnostic_only
weakT_final_300K_400,465169.2638603892,3364507.186443472,15726876.342977865,H_targets_interpolated
weakT_final_300K_450,68.7210213102863,455.6278915647089,1521.7373016642798,H_targets_interpolated
ceramic_final_300K_400,,,,not_crossed_by_1e8
ceramic_final_300K_450,2952.2381661960576,19439.37663848944,64712.56264548437,H_targets_interpolated
ceramic_final_300K_500,1.637233680184202,10.771062372962298,35.78076068993309,H_targets_interpolated
weakT_final_900K_400,10003538.791071415,,,N10_crossed_N50_N90_not_crossed_by_1e8
weakT_final_1300K_400,2906248.806265534,,,N10_crossed_N50_N90_not_crossed_by_1e8
