condition_id,material_class,option_id,production_role,T_K,sigma_a_MPa,R,frequency_Hz,observation_cycles,H_cleave,S_no_attempt,cleavage_attempt_status
Peak_300K_735p921495,Peak,v913_paper_peak01_0242980_persistent_sites,noncanonical_bulk_plasticity_control,300,735.9214951373579,0.1,1000,100000000,0.05152397046800673,0.949780882997064,right_censored_no_quantile_crossing
Peak_300K_770,Peak,v913_paper_peak01_0242980_persistent_sites,noncanonical_bulk_plasticity_control,300,770,0.1,1000,206847,2.3225858356478564,0.09801979453587456,finite_quantile_trajectory
Peak_300K_804p139,Peak,v913_paper_peak01_0242980_persistent_sites,noncanonical_bulk_plasticity_control,300,804.139,0.1,1000,2047,3.0032883219513375,0.049623621338564516,finite_quantile_trajectory
DBTT_300K_770,DBTT,v913_paper_dbtt01_0202500_persistent_sites,noncanonical_bulk_plasticity_control,300,770,0.1,1000,40959,2.379228389991975,0.09262201802076062,finite_quantile_trajectory
weakT_300K_250,weak-T,v913_paper_weakT01_0257068_persistent_sites,historical_rejected_transfer_control,300,250,0.1,1000,255,3.1451730417356414,0.043045137372323,finite_quantile_trajectory_nonproduction
ceramic_300K_zero,ceramic,v913_paper_ceramic01_0189364_persistent_sites,historical_rejected_transfer_control,300,0,0.1,1000,1,999.9999999999998,0,zero_load_diagnostic_nonproduction
weakT_final_300K_400,weak-T,v913_paper_weakT01_0129902_persistent_sites,noncanonical_bulk_plasticity_control,300,400,0.1,1000,15728639,2.3027420277122146,0.09998430775954398,finite_quantile_trajectory
weakT_final_300K_450,weak-T,v913_paper_weakT01_0129902_persistent_sites,noncanonical_bulk_plasticity_control,300,450,0.1,1000,2047,3.0940780118928344,0.04531677473249582,finite_quantile_trajectory
ceramic_final_300K_400,ceramic,v913_paper_ceramic01_0077080_persistent_sites,noncanonical_bulk_plasticity_control,300,400,0.1,1000,100000000,0.06248605838109062,0.9394261598436927,right_censored_no_quantile_crossing
ceramic_final_300K_450,ceramic,v913_paper_ceramic01_0077080_persistent_sites,noncanonical_bulk_plasticity_control,300,450,0.1,1000,65535,2.331801813968303,0.0971205960955103,finite_quantile_trajectory
ceramic_final_300K_500,ceramic,v913_paper_ceramic01_0077080_persistent_sites,noncanonical_bulk_plasticity_control,300,500,0.1,1000,63,4.054207508354696,0.01734922385183076,finite_quantile_trajectory
weakT_final_900K_400,weak-T,v913_paper_weakT01_0129902_persistent_sites,noncanonical_bulk_plasticity_control,900,400,0.1,1000,100000000,0.22852751853164843,0.7957044002864784,right_censored_N10_only
weakT_final_1300K_400,weak-T,v913_paper_weakT01_0129902_persistent_sites,noncanonical_bulk_plasticity_control,1300,400,0.1,1000,100000000,0.6256853411992653,0.5348947174850919,right_censored_N10_only
Peak_300K_endurance_735p921495,Peak,v913_paper_peak01_0242980_persistent_sites,noncanonical_bulk_plasticity_control,300,735.9214951373579,0.1,1000,100000000,0.051523913898147686,0.9497809367260361,right_censored_tail_diagnostic
DBTT_300K_endurance_700,DBTT,v913_paper_dbtt01_0202500_persistent_sites,noncanonical_bulk_plasticity_control,300,700,0.1,1000,100000000,3.692124914851011e-05,0.9999630794324325,right_censored_tail_diagnostic
weakT_300K_endurance_350,weak-T,v913_paper_weakT01_0129902_persistent_sites,noncanonical_bulk_plasticity_control,300,350,0.1,1000,100000000,0.00023463196310551638,0.9997653955608208,right_censored_tail_diagnostic
