material_class,option_id,sigma_a_MPa,N,phase_index,phase,Xi,proposed_length_m,maximum_released_energy_J_per_m,resistance_J_per_m2,minimum_energy_gate_margin_J_per_m,admitted_length_m,reason,mesh_resolved
Peak,v913_paper_peak01_0242980_persistent_sites,735.9214951373579,100000000.0,0,0.0,0.1,2.2973400956248734e-06,0.09791988580466278,3.3053518326629803,,2.2973400956248734e-06,stochastic_proposal_reached,True
Peak,v913_paper_peak01_0242980_persistent_sites,735.9214951373579,100000000.0,0,0.0,0.3,2.2973400956248734e-06,0.09791988580466278,3.3053518326629803,,2.2973400956248734e-06,stochastic_proposal_reached,True
Peak,v913_paper_peak01_0242980_persistent_sites,735.9214951373579,100000000.0,0,0.0,0.49,2.2973400956248734e-06,0.09791988580466278,3.3053518326629803,,2.2973400956248734e-06,stochastic_proposal_reached,True
Peak,v913_paper_peak01_0242980_persistent_sites,735.9214951373579,100000000.0,0,0.0,0.5,2.2973400956248734e-06,0.09791988580466278,3.3053518326629803,,2.2973400956248734e-06,stochastic_proposal_reached,True
Peak,v913_paper_peak01_0242980_persistent_sites,735.9214951373579,100000000.0,0,0.0,0.6,2.7568081147498482e-06,0.10281588009489592,3.3053518326629803,,2.7568081147498482e-06,stochastic_proposal_reached,True
Peak,v913_paper_peak01_0242980_persistent_sites,735.9214951373579,100000000.0,0,0.0,0.8,3.6757441529997978e-06,0.09791988580466278,3.3053518326629803,,3.6757441529997973e-06,stochastic_proposal_reached,True
Peak,v913_paper_peak01_0242980_persistent_sites,735.9214951373579,100000000.0,0,0.0,1.0,4.594680191249747e-06,0.09791988580466278,3.3053518326629803,,4.594680191249747e-06,stochastic_proposal_reached,True
Peak,v913_paper_peak01_0242980_persistent_sites,735.9214951373579,100000000.0,0,0.0,1.25,5.743350239062183e-06,0.09179989294187137,3.3053518326629803,,5.743350239062183e-06,stochastic_proposal_reached,True
Peak,v913_paper_peak01_0242980_persistent_sites,735.9214951373579,100000000.0,0,0.0,1.5,6.89202028687462e-06,0.07343991435349709,3.3053518326629803,,6.89202028687462e-06,stochastic_proposal_reached,True
Peak,v913_paper_peak01_0242980_persistent_sites,735.9214951373579,100000000.0,0,0.0,2.0,9.189360382499494e-06,0.09791988580466278,3.3053518326629803,,9.189360382499494e-06,stochastic_proposal_reached,True
Peak,v913_paper_peak01_0242980_persistent_sites,735.9214951373579,100000000.0,0,0.0,2.5,1.1486700478124366e-05,0.09860234928288136,3.3053518326629803,,1.1486700478124366e-05,stochastic_proposal_reached,True
Peak,v913_paper_peak01_0242980_persistent_sites,735.9214951373579,100000000.0,0,0.0,3.0,1.378404057374924e-05,0.09860234928288136,3.3053518326629803,,1.378404057374924e-05,stochastic_proposal_reached,True
Peak,v913_paper_peak01_0242980_persistent_sites,735.9214951373579,100000000.0,0,0.0,3.5,1.6081380669374112e-05,0.09860234928288136,3.3053518326629803,,1.6081380669374112e-05,stochastic_proposal_reached,True
Peak,v913_paper_peak01_0242980_persistent_sites,735.9214951373579,100000000.0,0,0.0,3.99,1.833277396308649e-05,0.09860234928288136,3.3053518326629803,,1.833277396308649e-05,stochastic_proposal_reached,True
Peak,v913_paper_peak01_0242980_persistent_sites,735.9214951373579,100000000.0,0,0.0,4.0,1.8378720764998988e-05,0.09860234928288136,3.3053518326629803,,1.8378720764998988e-05,stochastic_proposal_reached,True
Peak,v913_paper_peak01_0242980_persistent_sites,735.9214951373579,100000000.0,0,0.0,8.0,1.8378720764998988e-05,0.09860234928288136,3.3053518326629803,,1.8378720764998988e-05,stochastic_proposal_reached,True
Peak,v913_paper_peak01_0242980_persistent_sites,735.9214951373579,100000000.0,1,0.03125,0.1,2.2973400956248734e-06,0.09623385386331997,3.3602113609335498,,2.2973400956248734e-06,stochastic_proposal_reached,True
Peak,v913_paper_peak01_0242980_persistent_sites,735.9214951373579,100000000.0,1,0.03125,0.3,2.2973400956248734e-06,0.09623385386331997,3.3602113609335498,,2.2973400956248734e-06,stochastic_proposal_reached,True
Peak,v913_paper_peak01_0242980_persistent_sites,735.9214951373579,100000000.0,1,0.03125,0.49,2.2973400956248734e-06,0.09623385386331997,3.3602113609335498,,2.2973400956248734e-06,stochastic_proposal_reached,True
