material_class,option_id,sigma_a_MPa,N,H_cleave,cycle_hazard,signed_state_relative_error,root_tensor_relative_error,backstress_relative_error,shielding_relative_error,blunting_relative_error,phase_log_rate_absolute_error,cycle_hazard_relative_error,stationary_periodic_orbit,accepted_blocks,rejected_blocks,checkpoint_generation
Peak,v913_paper_peak01_0242980_persistent_sites,735.9214951373579,100000000.0,8.829782039936095,8.829782039937403e-08,,,,,,,,False,27,0,generation_9b32a60a6bed4566b0d751eeb7240474
Peak,v913_paper_peak01_0242980_persistent_sites,735.9214951373579,10000000000.0,882.9782039804766,8.829782039674687e-08,0.9899999134478862,0.0,0.8999995672403673,7.592332580251602e-45,5.20221517387955e-13,3.467448550509289e-11,2.975345618108194e-11,False,35,0,generation_e2f6c8dc0b864180ab591eab0926f879
Peak,v913_paper_peak01_0242980_persistent_sites,735.9214951373579,1000000000000.0,88297.82026662635,8.829782013390785e-08,0.9899991335065657,0.0,0.8999956676266757,7.591668785747472e-43,5.20199196643615e-11,3.464151632215362e-09,2.976732842757378e-09,False,44,0,generation_5c6321c750bf4788b08f46ff94956096
Peak,v913_paper_peak01_0242980_persistent_sites,735.9214951373579,100000000000000.0,8829780.713400843,8.829779387430874e-08,0.9899908925886943,0.0,0.8999544733068712,7.584697895094668e-41,5.197204740788194e-09,3.46094779501982e-07,2.973980452689254e-07,False,52,0,generation_84ee7f4884f34a6a8e3dc2ccc10e0826
DBTT,v913_paper_dbtt01_0202500_persistent_sites,700.0,100000000.0,0.005913441733257106,5.913441733276768e-11,,,,,,,,False,27,0,generation_8b68a238ad1148b9bf513a19eb22ed8b
DBTT,v913_paper_dbtt01_0202500_persistent_sites,700.0,10000000000.0,0.5913441733257107,5.913441733276768e-11,0.9999000852700931,0.0,0.8999999870785884,2.300842222860979e-13,1.4880478186162134e-16,0.0,0.0,False,35,0,generation_d3cbddca68824657a426e310165aefdf
DBTT,v913_paper_dbtt01_0202500_persistent_sites,700.0,1000000000000.0,59.13441733255116,5.913441733272953e-11,0.9999990064901568,0.0,0.8999998710179503,2.3008362316638277e-11,8.481872566112345e-15,6.608047442568932e-13,6.452030386856724e-13,False,44,0,generation_261d69e738594e5dac4f8eac2be21349
DBTT,v913_paper_dbtt01_0202500_persistent_sites,700.0,100000000000000.0,5913.441733070966,5.913441732904698e-11,0.9999999870916297,0.0,0.8999986791530148,2.3007749468226595e-09,8.617284917598993e-13,6.234657234926999e-11,6.227411429253267e-11,False,52,0,generation_4fd12af9f9eb4cc489fb35a8e859c4e8
weak-T,v913_paper_weakT01_0129902_persistent_sites,350.0,100000000.0,0.0008723891221042562,8.695855394938907e-12,,,,,,,,False,27,0,generation_d050453b0c5f4579938447c20825d559
weak-T,v913_paper_weakT01_0129902_persistent_sites,350.0,10000000000.0,0.08601797107692588,8.576954942883188e-12,0.2007581210526877,0.0,0.10599671200419397,2.1561499513440308e-35,0.00036045829523848787,0.013770342919968925,0.013673232437250544,False,35,0,generation_33a7206f392d4560ab44661620ee8723
weak-T,v913_paper_weakT01_0129902_persistent_sites,350.0,1000000000000.0,8.500396125468388,8.48239153161022e-12,0.13920474519029402,0.0,0.07220947687007173,1.7368408059809354e-35,0.00029027524096894716,0.011088764467306333,0.011025289499909668,False,44,0,generation_24da81d41b974adc9e57e7d80c94a948
weak-T,v913_paper_weakT01_0129902_persistent_sites,350.0,100000000000000.0,848.0888483407676,8.480691452779082e-12,0.0025108821991894075,0.0,0.0012562301566979629,3.140683303446697e-37,5.248942875567472e-06,0.00020048528658733744,0.00020042447048117902,False,52,0,generation_14d11966ec3b4bc6b657ce32e89d7cf2
ceramic,v913_paper_ceramic01_0077080_persistent_sites,400.0,100000000.0,0.3843090994510605,3.843090994522955e-09,,,,,,,,False,27,0,generation_3f328796152747d7bf2ce1e36a1c5959
ceramic,v913_paper_ceramic01_0077080_persistent_sites,400.0,10000000000.0,38.43090994510604,3.843090994522955e-09,0.2285714285714288,0.0,1.212050148148195e-06,5.68149508495337e-84,0.0,0.0,0.0,False,35,0,generation_c0cbca8d71f148a88e87a4269edf536a
ceramic,v913_paper_ceramic01_0077080_persistent_sites,400.0,1000000000000.0,3843.0909945106005,3.843090994522955e-09,0.20454545454545564,0.0,1.20740759035406e-06,6.391681970572573e-84,0.0,0.0,0.0,False,44,0,generation_33c7e616257a43b98ec4e3a6ab56d60f
ceramic,v913_paper_ceramic01_0077080_persistent_sites,400.0,100000000000000.0,384309.09945106093,3.843090994522955e-09,0.18518518518518554,0.0,1.2041243708335094e-06,7.1018688561917385e-84,0.0,0.0,0.0,False,52,0,generation_2d4349710f0a47a0959d30f38bb5d508
