material_class,option_id,sigma_a_MPa,sigma_min_MPa,sigma_max_MPa,N10_attempt,N50_attempt,N90_attempt,target_N50,target_error_decades,source_history
DBTT,v913_paper_dbtt01_0202500_persistent_sites,2450.0,544.4444444444445,5444.444444444444,0.40656093817019273,2.674688580939921,8.573887373025043,3.0,-0.0498480311484385,runs/sn_v9_four_class_m1/DBTT/action/2450_N90/DBTT/shielded/sigmaA_2450MPa/sn_stateful_pd_history.csv
DBTT,v913_paper_dbtt01_0202500_persistent_sites,2302.0,511.5555555555556,5115.555555555556,8.28426826601186,54.500655731764255,180.5466217627189,60.0,-0.04174952280473277,runs/sn_v9_four_class_m1/DBTT/action/2302_N90_v1/DBTT/shielded/sigmaA_2302MPa/sn_stateful_pd_history.csv
DBTT,v913_paper_dbtt01_0202500_persistent_sites,2161.0,480.2222222222223,4802.222222222222,163.0262944371941,1072.5195832684096,3562.5647837989927,1100.0,-0.010987454392128544,runs/sn_v9_four_class_m1/DBTT/action/2161_N90_v1/DBTT/shielded/sigmaA_2161MPa/sn_stateful_pd_history.csv
DBTT,v913_paper_dbtt01_0202500_persistent_sites,2023.0,449.55555555555554,4495.555555555556,3151.908313579833,20735.816897826928,68882.6305180229,21000.0,-0.005498145449596659,runs/sn_v9_four_class_m1/DBTT/action/2023_N90_v1/DBTT/shielded/sigmaA_2023MPa/sn_stateful_pd_history.csv
DBTT,v913_paper_dbtt01_0202500_persistent_sites,1950.0,433.3333333333333,4333.333333333333,15075.880289529263,99181.40445595133,329473.46575632703,400000.0,-0.6056297375125048,runs/sn_v9_four_class_m1/DBTT/action/1950_N90/DBTT/shielded/sigmaA_1950MPa/sn_stateful_pd_history.csv
DBTT,v913_paper_dbtt01_0202500_persistent_sites,1882.0,418.22222222222223,4182.222222222222,64055.93653051198,421412.0586543759,1399900.274584938,400000.0,0.022646967405262206,runs/sn_v9_four_class_m1/DBTT/action/1882_N90_v1/DBTT/shielded/sigmaA_1882MPa/sn_stateful_pd_history.csv
DBTT,v913_paper_dbtt01_0202500_persistent_sites,1738.0,386.22222222222223,3862.222222222222,1279604.4255285661,8418278.842404947,27964916.9970814,7500000.0,0.05016204358838936,runs/sn_v9_four_class_m1/DBTT/action/1738_N90_v1/DBTT/shielded/sigmaA_1738MPa/sn_stateful_pd_history.csv
DBTT,v913_paper_dbtt01_0202500_persistent_sites,1583.0,351.77777777777777,3517.777777777778,27166239.21442788,178721620.71654576,593700372.7012893,140000000.0,0.1060490584609159,runs/sn_v9_four_class_m1/DBTT/action/1583_N90_v1/DBTT/shielded/sigmaA_1583MPa/sn_stateful_pd_history.csv
DBTT,v913_paper_dbtt01_0202500_persistent_sites,1421.0,315.77777777777777,3157.777777777778,506430367.0603541,3331710924.9716144,11067704125.332726,2700000000.0,0.09130354876306485,runs/sn_v9_four_class_m1/DBTT/action/1421_N90_v1/DBTT/shielded/sigmaA_1421MPa/sn_stateful_pd_history.csv
DBTT,v913_paper_dbtt01_0202500_persistent_sites,1230.0,273.3333333333333,2733.3333333333335,10104129642.43576,66473184289.26507,220819138442.59912,50000000000.0,0.12367647910387834,runs/sn_v9_four_class_m1/DBTT/action/1230_N90_v1/DBTT/shielded/sigmaA_1230MPa/sn_stateful_pd_history.csv
DBTT,v913_paper_dbtt01_0202500_persistent_sites,1068.0,237.33333333333334,2373.3333333333335,80408699150.8803,528993833799.49786,1757279478523.5315,1000000000000.0,-0.2765493902757028,runs/sn_v9_four_class_m1/DBTT/action/1068_N90_v1/DBTT/shielded/sigmaA_1068MPa/sn_stateful_pd_history.csv
DBTT,v913_paper_dbtt01_0202500_persistent_sites,1015.0,225.55555555555554,2255.5555555555557,142812632700.6581,939537672980.812,3121076592082.053,1000000000000.0,-0.02708580115189698,runs/sn_v9_four_class_m1/DBTT/action/1015_N90_v1/DBTT/shielded/sigmaA_1015MPa/sn_stateful_pd_history.csv
