case,boundary_role,cycles,generation,hazard_comparison_eligible,state_use,global_action,global_threshold,remaining_action,attempt_count,selected_site,embryos,stable_seeds,max_bond_damage,emitted_total,tip_radius_m,shielding_Pa_sqrt_m,mobile_positive,mobile_negative,retained_positive,retained_negative,manifest_sha256,arrays_sha256,metadata_sha256
PD_1500,initial_dormant_state,0.0,deterministic_initial_state_from_hash_verified_run_args,True,initial hazard reference; no accepted cycle,nan,nan,nan,0,nan,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,f899cd2509e239401a680243b1239d0a78bcb810a288d0ebb8ef4be8a420077e,nan,nan
PD_1500,pre_attempt,182037375.0,generation_9a6c40a9d55b4149a6b79688650d7541,True,pre-attempt hazard capsule,0.03736352787864061,0.037363528078493934,1.998533213920517e-10,0,-1,0.0,0.0,0.0,1.1206084694605677e-09,nan,nan,5.603042347302839e-10,5.603042347302839e-10,5.674771913912464e-78,5.674771913912464e-78,8c0693cebb302895a05b562ca16ce723792379b73576e60e8970177f1bdeda61,603d9f7ecd6ebcdf896a002861b72a40a1c23c2dc4ca84ab37e5e774adad81e7,59707e045751d282f28a51b8bc025f38c37a9cf1801841d8523efa787525bd14
PD_1500,attempt_boundary,182037375.9965509,generation_a04e8ff234f14f009f3fcaa64c6e82d3,True,exact localized hazard capsule,0.037363528078493934,0.09790407970700882,0.060540551628514884,1,-1,1.0,0.0,0.0,1.1206084725385298e-09,nan,nan,5.603042362692649e-10,5.603042362692649e-10,5.674771913919167e-78,5.674771913919167e-78,f49371fbd49eb7ffd765a8f38ee67d6670c6ba30d82a9f79c817499294cb7a83,3b7e6bc6bbc7171b64edff6d6c491fdb078a7c363f106af7c762c8f7785ace2a,76309915089b468b21d372a4834d55fd96479228cf7a8753de8025d8972ec815
PD_1500,stable_seed_boundary,182037378.77303177,generation_04e231db4a914bdda8281706d3158ee8,False,post-seed MPZ/topology diagnostic only,0.037363528078493934,0.09790407970700882,0.060540551628514884,1,-1,0.0,1.0,0.0,1.1206084896303353e-09,nan,nan,5.603042448151676e-10,5.603042448151676e-10,5.674771914105472e-78,5.674771914105472e-78,83d6a1b61869504f3716a563322c2058c436b954460743c9ba5d5117223ab648,0abc463e00483ddaabbe3f0a5d371682f523a4ef12cc5b5f4cc5358be9b5934a,8173bae976a16e2cdf9a204e0c9cf505a7f906fbe2d5d0c4494abc60f78ae973
PD_1500,terminal_front_capture_state,182779272.25890073,generation_3d990eca5aad4c5c96e92e812ada4848,False,post-seed MPZ/topology diagnostic only,0.037363528078493934,0.09790407970700882,0.060540551628514884,1,-1,0.0,1.0,0.981018169563525,1.1251755296854989e-09,nan,nan,5.625877648427494e-10,5.625877648427494e-10,5.6978995480039325e-78,5.6978995480039325e-78,d5acc7ccb81bd600ffbd4f15c382778b5dc6c029318f979677660aae976b6d41,fac7592ae4c9cc95f64352df920d32d136f7dcccaa5e058ee8ea76ddace67ecc,5156491ec36dc7192a6bfdc2c131ab8d039b60ef35aaac35f79f5ce26d461b50
PD_2000,initial_dormant_state,0.0,deterministic_initial_state_from_hash_verified_run_args,True,initial hazard reference; no accepted cycle,nan,nan,nan,0,nan,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,9651ddd8fc53c34e715cd86adea945cb050b243b67a39aaed83fdd87c1c42fbe,nan,nan
PD_2000,pre_attempt,566.0,generation_633f565da1ff4eeeaecd71df72de5f94,True,pre-attempt hazard capsule,0.037362583845682217,0.037363528078493934,9.442328117170717e-07,0,-1,0.0,0.0,0.0,5.237259921212131e-15,nan,nan,2.6186299606060666e-15,2.6186299606060642e-15,1.7895048524519335e-74,1.7895048524519315e-74,d2438eb48a38cea65a24e436f45399dbe1d74a85cb0aa394d795fb2a388deb74,67ee60604ac310bb9c4f7b03689a8e09b91a5f373adcb660ba93f426ad539fab,71ed7d9049c8f582281a131782f806ea8d8ddbfa067cdd3c2a602044d37b9e63
PD_2000,attempt_boundary,566.0012938069962,generation_65c0c33876f9425382dee64713ec30b3,True,exact localized hazard capsule,0.037363528078493934,0.09790407970700882,0.060540551628514884,1,-1,1.0,0.0,0.0,5.241886475909617e-15,nan,nan,2.6209432379548096e-15,2.6209432379548073e-15,1.7912487048122596e-74,1.7912487048122576e-74,9186ef39012a2745a6585ee83b68ff3e3a14e048bb41a30e29a0eaf9b12c6473,5022b6a66c30069d70d55730bfd5c3d47dcbf925b68ecf7ed6f9a85c3fca27ee,2ec7edc24d6392809245ed5649ede41a7f739b49bbc5100f4faee4681db5bd27
PD_2000,stable_seed_boundary,568.7777746616391,generation_d3d04e55715441d1b2725b4c4f725df8,False,post-seed MPZ/topology diagnostic only,0.037363528078493934,0.09790407970700882,0.060540551628514884,1,-1,0.0,1.0,0.0,5.26757755700375e-15,nan,nan,2.6337887785018762e-15,2.633788778501874e-15,1.800960979619754e-74,1.800960979619752e-74,a7f22b7731dfb6875343369556cf2c3c4b14927b36a1a7f5a6063430038d9f3a,dfac98f298d88606c3e280bb7ff4ff77a06dc7ab996237b362a429764aec72ca,641f898f2f2c06e872787ba3ff14b7bc94b399b1df7cc1f925e9a0da083d0ef0
PD_2000,terminal_front_capture_state,566712.8719933422,generation_efbfb86711ca46bbac6b7cb2162c21c8,False,post-seed MPZ/topology diagnostic only,0.037363528078493934,0.09790407970700882,0.060540551628514884,1,-1,0.0,1.0,0.966950977641274,5.243860540923506e-12,nan,nan,2.6219302704617524e-12,2.621930270461753e-12,5.2800692678284265e-71,5.280069267828427e-71,0cfbcbbc585bac34a9f856134cf12f6f600649594aa44d8b2cdee231da1eded9,9a7e0de674885ade02ace203dabe35a0e19d9159c131a5bbdecf346678dc9b72,c5656b5f4d2813419734fbc10fac25d5d14adaa00ba2b8d8131f2ccdac47553f
