sigma_a_MPa,branch_id,source_path,selected_site,selected_node,mark_probability,attempt_cycle,stable_cycle,first_softening_cycle,root_connection_cycle,front_capture_cycle,post_stable_exposure_cycles,observation_status,max_bond_damage,broken_bond_count,connected_extent_m,active_front_length_m,primary_seed,morphology_class,mechanics_validity_class
2500,B000,runs/sn_v9_shared_root_m1_peak/sn_matrix_v1/front_2500/B000/Peak/shielded/sigmaA_2500MPa,1986,264,0.0017529024556758208,1.02181126596808,1.9807425208962006,13125.760039395896,780000.7600393959,,999999.0410687451,administrative_right_censor,0.9830290591653862,4,3.547386075035064e-05,0.0,264,root_connected_uncaptured,not_recorded
2500,B001,runs/sn_v9_shared_root_m1_peak/sn_matrix_v1/front_2500/B001/Peak/shielded/sigmaA_2500MPa,803,124,0.08604267325668584,1.02181126596808,1.5291455710849675,9379.3848851743,485004.38488517434,533129.3848851743,533127.8557396033,captured,0.9659118332803082,7,4.095332773672438e-05,4.095332773672438e-05,124,captured_root_connected_front,not_recorded
2500,B002,runs/sn_v9_shared_root_m1_peak/sn_matrix_v1/front_2500/B002/Peak/shielded/sigmaA_2500MPa,800,124,0.08604267325668584,1.02181126596808,5.399214803130121,9379.17851167813,485004.1785116781,533129.1785116781,533123.779296875,captured,0.9659107240076565,7,4.095332773672438e-05,4.095332773672438e-05,124,captured_root_connected_front,not_recorded
2500,B003,runs/sn_v9_shared_root_m1_peak/sn_matrix_v1/front_2500/B003/Peak/shielded/sigmaA_2500MPa,2620,297,0.046171988143423354,1.02181126596808,4.938673644647016,10628.717970519647,,,999996.0831376213,administrative_right_censor,0.9970614659297787,2,0.0,0.0,297,damaged_uncaptured,not_recorded
2250,B000,runs/sn_v9_shared_root_m1_peak/sn_matrix_v1/front_2250/B000/Peak/shielded/sigmaA_2250MPa,2622,297,0.0445311600070947,75.97461440197989,77.05735287309624,10731.580148488687,,,999998.9172615289,administrative_right_censor,0.996782832132424,2,0.0,0.0,297,damaged_uncaptured,not_recorded
2250,B001,runs/sn_v9_shared_root_m1_peak/sn_matrix_v1/front_2250/B001/Peak/shielded/sigmaA_2250MPa,800,124,0.09790975683422835,75.97461440197989,77.46699510497518,9451.246291979976,486951.24629198,535701.2462919799,535623.7792968749,captured,0.966035480191103,7,4.095332773672438e-05,4.095332773672438e-05,124,captured_root_connected_front,not_recorded
2250,B002,runs/sn_v9_shared_root_m1_peak/sn_matrix_v1/front_2250/B002/Peak/shielded/sigmaA_2250MPa,2716,302,0.01927973773147239,75.97461440197989,76.68081425591177,10700.460111130913,,,999999.2938001461,administrative_right_censor,0.9968314071062946,2,0.0,0.0,302,damaged_uncaptured,not_recorded
2250,B003,runs/sn_v9_shared_root_m1_peak/sn_matrix_v1/front_2250/B003/Peak/shielded/sigmaA_2250MPa,800,124,0.09790975683422835,75.97461440197989,87.13729412787772,9460.916591002879,486960.9165910029,535710.9165910028,535623.779296875,captured,0.966035480191103,7,4.095332773672438e-05,4.095332773672438e-05,124,captured_root_connected_front,not_recorded
1500,B000,runs/sn_v9_shared_root_m1_peak/conditioned_pilot_v1/B000/Peak/shielded/sigmaA_1500MPa,2716,302,0.016321320443042908,3377055123.1199546,3377055124.016954,3377065747.7962513,,,1000000.0,administrative_right_censor,0.9747796950996862,2,0.0,0.0,302,damaged_uncaptured,not_recorded
1500,B001,runs/sn_v9_shared_root_m1_peak/conditioned_pilot_v1/B001/Peak/shielded/sigmaA_1500MPa,800,124,0.11541407775877782,3377055123.1199546,3377055124.7576203,3377064616.8610616,3377628991.8610616,3377702741.8610616,647617.1034412384,captured,0.9693128010695418,6,2.8283765440461787e-05,2.8283765440461787e-05,124,captured_root_connected_front,not_recorded
1500,B002,runs/sn_v9_shared_root_m1_peak/conditioned_pilot_v1/B002/Peak/shielded/sigmaA_1500MPa,803,124,0.11541407775877782,3377055123.1199546,3377055125.758638,3377064586.8305345,3377628961.8305345,3377702711.8305345,647586.071896553,captured,0.9693064445127205,6,2.8283765440461787e-05,2.8283765440461787e-05,124,captured_root_connected_front,not_recorded
1500,B003,runs/sn_v9_shared_root_m1_peak/conditioned_pilot_v1/B003/Peak/shielded/sigmaA_1500MPa,800,124,0.11541407775877782,3377055123.1199546,3377055127.00995,3377064538.873793,3377628913.873793,3377702663.873793,647536.8638429642,captured,0.9692964132049494,6,2.8283765440461787e-05,2.8283765440461787e-05,124,captured_root_connected_front,not_recorded
1500,B004,runs/sn_v9_shared_root_m1_peak/conditioned_ensemble_1500_v1/B004/Peak/shielded/sigmaA_1500MPa,799,124,0.11541407775877782,3377055123.1199546,3377055126.6038127,3377064500.3831096,3377628875.3831096,3377702625.3831096,647498.779296875,captured,0.9692886798072081,6,2.8283765440461787e-05,2.8283765440461787e-05,124,captured_root_connected_front,not_recorded
1500,B005,runs/sn_v9_shared_root_m1_peak/conditioned_ensemble_1500_v1/B005/Peak/shielded/sigmaA_1500MPa,2620,297,0.038270522698068785,3377055123.1199546,3377055123.516491,3377065697.1202064,3378814730.7595873,,4343357.243096352,administrative_right_censor,0.9999999937205964,3,3.486180237816973e-05,0.0,297,root_connected_uncaptured,not_recorded
1500,B006,runs/sn_v9_shared_root_m1_peak/conditioned_ensemble_1500_v1/B006/Peak/shielded/sigmaA_1500MPa,801,124,0.11541407775877782,3377055123.1199546,3377055123.5571136,3377064421.089775,3377628796.089775,3377702546.089775,647422.532661438,captured,0.9692733332228131,6,2.8283765440461787e-05,2.8283765440461787e-05,124,captured_root_connected_front,not_recorded
1500,B007,runs/sn_v9_shared_root_m1_peak/conditioned_ensemble_1500_v1/B007/Peak/Peak/shielded/sigmaA_1500MPa,800,124,0.11541407775877782,3377055123.1199546,3377055124.358966,3377064498.1382627,3377628873.1382627,3377702623.1382627,647498.779296875,captured,0.9692886798072081,6,2.8283765440461787e-05,2.8283765440461787e-05,124,captured_root_connected_front,not_recorded
