Dloc_max,F0_residual_N_per_m,H_attempt,P_max,S_no_attempt,Umax_m,Umin_m,ale_accept_scale,ale_geometry_active,block,block_limited_by_birth_clock,case,cleavage_clock_model,cycles_connected,cycles_diffuse_abort,cycles_first_embryo,cycles_first_expected_embryo,cycles_first_expected_stable,cycles_first_softening,cycles_first_stable,cycles_front_capture,cycles_front_stalled,cycles_root_connected,cycles_target,cycles_total,cycles_two_horizon_crack,dN,delivery_hit_count,delivery_memory_s,delivery_scale,delivery_source,delivery_source_multiplicity,dep_eq_block_max,dep_eq_cycle_max,effective_scratch_Kt_max,epsp_acc_max,fatigue_model,fatigue_model_preset_applied,fem_scratch_Kt_max,geometry_invalid_reason,geometry_limit_mode,geometry_saturated,geometry_saturation_cycles,geometry_taper_factor,global_action_increment,global_action_increment_per_cycle,global_action_ledger_closure_error,global_attempt_count,global_clock_policy_state,global_threshold_action,marked_attempt_pd_node_id,marked_attempt_probability,marked_attempt_site_id,max_blocks_requested,minimum_element_area_over_initial,next_birth_wait_cycles_pre,pd_active_front,pd_active_front_bonds,pd_active_front_length_m,pd_amplification_max,pd_birth_rate_max_per_cycle,pd_bond_damage_max,pd_broken_bonds,pd_completion_max,pd_connected_bonds,pd_connected_extent_m,pd_crack_axial_coverage,pd_crack_boundary_clearance_m,pd_crack_centerline_length_m,pd_crack_local_upper_K_MPam05,pd_crack_max_axial_gap_m,pd_crack_orientation_coherence,pd_crack_orientation_deg,pd_crack_remote_KII_MPam05,pd_crack_remote_KI_MPam05,pd_crack_remote_K_MPam05,pd_crack_slenderness,pd_crack_surface_gap_m,pd_crack_tip_radius_eff_m,pd_crack_tip_width_m,pd_crack_width_m,pd_crack_width_ratio,pd_delivery_events_cycle_max,pd_delivery_memory_max,pd_delivery_rate_max_s,pd_diffuse_abort,pd_effective_stress_max_Pa,pd_embryo_max,pd_expected_births_cumulative,pd_expected_candidate_sites,pd_expected_embryos,pd_expected_stable,pd_front_backbone_bonds,pd_front_candidate_mode,pd_front_eligible_fallback,pd_front_eligible_preferred,pd_front_max_link_rate_per_cycle,pd_front_process_bonds,pd_front_stall_updates,pd_front_stalled,pd_front_wake_bonds,pd_growth_max,pd_handoff_K_pass,pd_handoff_boundary_pass,pd_handoff_competition_pass,pd_handoff_coverage_pass,pd_handoff_front_pass,pd_handoff_length_pass,pd_handoff_orientation_pass,pd_handoff_pass,pd_handoff_slenderness_pass,pd_handoff_surface_pass,pd_handoff_tip_pass,pd_max_rate_per_cycle,pd_nucleation_hazard_cycle_max,pd_nucleation_rate_max_s,pd_off_front_broken_bonds,pd_off_front_broken_fraction,pd_precapture_stalled,pd_primary_seed_node,pd_primary_seed_reselections,pd_primary_seed_stall_updates,pd_realized_births_cumulative,pd_realized_candidate_sites,pd_realized_embryos,pd_realized_stable,pd_stable_max,pd_temporal_transient_cycles,plastic_work_J_per_m,remote_sigma_max_Pa,residual_sigma1_max_Pa,rho_max_m2,rho_mean_m2,root_radius_m,root_radius_over_initial,root_radius_over_spacing,root_x_m,root_y_m,sigma1_cycle_max_Pa,sigma_a_MPa,surface_move_max_m,surface_shear_gamma_nt_max,v9_fem_embedded_error,v9_fem_error_ep_gp,v9_fem_error_epsp_acc_gp,v9_fem_error_rho_gp,v9_fem_rejections
0.0,-2.2033993609452392e-19,0.5653843022913514,0.0,0.5681417666155109,2.5502755206132853e-05,2.550275520613286e-06,0.0,False,1,False,shielded,v9_four_class_stateful_PD_shared_root_m1_marked_embryo_v1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,100.0,1.0,nan,1.0,2.0,0.001,1.0,emission,352563.0211119992,1.3553565154281417e-25,1.3553565154281417e-25,2.018051068036088,1.3553565154281417e-25,custom,False,2.033691229284316,,terminate,False,nan,1.0,0.5653843022913514,0.5653843022913514,0.0,0,active,0.6931471805599453,nan,nan,nan,5000,1.0,inf,False,0,0.0,1.0,0.0,0.0,0,7.6299437847612715e-31,0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,0.0,0.0,inf,1.9738618581545902e-15,1.2353091746410102e-15,9.971641334373973e-12,False,11211394822.42271,0.0,0.0,3741.9095810948684,0.0,0.0,0,0,0,0,0.0,0,0,False,0,0.0,False,False,False,False,False,False,False,False,False,False,False,0.0,283.7171430939259,2664329.2472824156,0,0.0,False,-1,0,0,0,3804,0,0,0.0,32,1.0333026353076417e-23,5555555555.555555,4.751964766630911e-15,1000000000000.0,1000000000000.0,0.0005987445183220907,1.0,49.89537652684091,0.00014991623455953818,-1.0024493102302374e-05,11298284607.135088,2500.0,0.0,0.0,2.2958874039497803e-33,2.2958874039497803e-33,0.0,0.0,0
0.0,-4.483098683199318e-19,0.6931471805599453,0.0,0.5,2.5502755206132853e-05,2.550275520613286e-06,0.0,False,2,False,shielded,v9_four_class_stateful_PD_shared_root_m1_marked_embryo_v1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,100.0,1.02181126596808,nan,0.02181126596808004,2.0,0.001,1.0,emission,352563.0211119992,2.956204143675539e-27,1.3553565152989404e-25,2.0180510680265193,1.384918556864897e-25,custom,False,2.033691229284316,,terminate,False,nan,1.0,0.1277628782685939,5.857655326177308,0.0,0,active,0.6931471805599453,nan,nan,nan,5000,1.0,inf,False,0,0.0,1.0,0.0,0.0,0,1.0135983676514768e-30,0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,0.0,0.0,inf,1.9738618580692816e-15,1.4237965919691451e-15,9.97164133391729e-12,False,11211394822.369553,0.0,0.0,3741.9095810948684,0.0,0.0,0,0,0,0,0.0,0,0,False,0,0.0,False,False,False,False,False,False,False,False,False,False,False,0.0,283.7171430526681,2664329.246903432,0,0.0,False,-1,0,0,0,3804,0,0,0.0,1,1.0558402739082127e-23,5555555555.555555,9.519977943506532e-15,1000000000000.0,1000000000000.0,0.0005987445183220907,1.0,49.89537652684091,0.00014991623455953818,-1.0024493102302374e-05,11298284607.135088,2500.0,0.0,0.0,2.2958874039497803e-33,2.2958874039497803e-33,0.0,0.0,0
0.0,-3.672239378107727e-19,0.6931471805599453,0.0,0.5,2.550275520613287e-05,2.5502755206132875e-06,0.0,False,3,False,shielded,v9_four_class_stateful_PD_shared_root_m1_marked_embryo_v1,nan,nan,1.02181126596808,nan,nan,nan,nan,nan,nan,nan,1000001.021811266,1.63216282846808,nan,0.6103515625,2.0,0.001,1.0,emission,352563.0211119992,8.272439668573487e-26,1.3553565152990798e-25,2.0180510680265265,2.212162523722246e-25,custom,False,2.0336912292843112,,terminate,False,nan,1.0,0.0,0.0,0.0,1,paused_reversible_embryo,1.6619362324300693,nan,nan,nan,5000,1.0,inf,False,0,0.0,1.0,0.0,0.0,0,2.0403620944861953e-30,0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,0.0,0.0,inf,1.973861858069397e-15,2.0200802432013406e-15,9.97164133391793e-12,False,11211394822.36959,0.06141615110925091,0.9091182969334781,3741.9095810948684,0.6700145604078159,0.23910373652566205,0,0,0,0,0.0,0,0,False,0,0.0,False,False,False,False,False,False,False,False,False,False,False,0.041666666666666644,283.7171430527027,2664329.2469037063,0,0.0,False,-1,0,0,1,3804,1,0,0.021917182224082413,21,1.6865181518018056e-23,5555555555.555555,7.772737826252132e-15,1000000000000.0,1000000000000.0,0.0005987445183220907,1.0,49.89537652684091,0.00014991623455953818,-1.0024493102302374e-05,11298284607.135061,2500.0,0.0,0.0,2.2958874039497803e-33,2.2958874039497803e-33,0.0,0.0,0
0.0,-4.4377971029770855e-19,0.6931471805599453,0.0,0.5,2.550275520613287e-05,2.5502755206132875e-06,0.0,False,4,False,shielded,v9_four_class_stateful_PD_shared_root_m1_marked_embryo_v1,nan,nan,1.02181126596808,nan,nan,nan,1.9807425208962006,nan,nan,nan,1000001.021811266,1.9807425208962006,nan,0.34857969242812054,2.0,0.001,1.0,emission,352563.0211119992,4.724497572439081e-26,1.3553565153292184e-25,2.0180510680287567,2.684612280966154e-25,custom,False,2.0336912292843112,,terminate,False,nan,1.0,0.0,0.0,0.0,1,stopped_stable_seed,1.6619362324300693,nan,nan,nan,5000,1.0,inf,False,0,0.0,1.0,0.0,0.0,0,1.1923659425385799e-30,0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,0.0,0.0,inf,1.973861858089274e-15,1.544257713296961e-15,9.971641334024349e-12,False,11211394822.38198,0.05159284508501627,0.9091182969334781,3741.9095810948684,0.5628479934917131,0.3462703034417648,0,0,0,0,0.0,0,0,False,0,0.0,False,False,False,False,False,False,False,False,False,False,False,0.03070807555462544,283.7171430623155,2664329.246992039,0,0.0,False,264,0,1,1,3804,0,1,0.031740488248317045,12,2.046706466557938e-23,5555555555.555555,9.427946399329537e-15,1000000000000.0,1000000000000.0,0.0005987445183220907,1.0,49.89537652684091,0.00014991623455953818,-1.0024493102302374e-05,11298284607.135061,2500.0,0.0,0.0,2.2958874039497803e-33,2.2958874039497803e-33,0.0,0.0,0
0.0,-7.124141622473938e-19,0.6931471805599453,0.0,0.5,2.550275520613287e-05,2.5502755206132875e-06,0.0,False,5,False,shielded,v9_four_class_stateful_PD_shared_root_m1_marked_embryo_v1,nan,nan,1.02181126596808,nan,nan,nan,1.9807425208962006,nan,nan,nan,1000001.021811266,3.2014456458962006,nan,1.220703125,2.0,0.001,1.0,emission,352563.0211119992,1.6544879337514872e-25,1.3553565153292184e-25,2.0180510680287567,4.339100214717641e-25,custom,False,2.0336912292843112,,terminate,False,nan,1.0,0.0,0.0,0.0,1,stopped_stable_seed,1.6619362324300693,nan,nan,nan,5000,1.0,inf,False,0,0.0,1.0,0.0,0.0,0,3.255803183212311e-30,0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,0.0,0.0,inf,1.973861858089274e-15,2.551784937337905e-15,9.971641334024349e-12,False,11211394822.38198,0.02802316358953908,0.9091182969334781,3741.9095810948684,0.3057164490865203,0.6034018478469576,0,0,0,0,0.0,0,0,False,0,9.606138926310237e-06,False,False,False,False,False,False,False,False,False,False,False,0.025796422542508125,283.7171430623155,2664329.246992039,0,0.0,False,264,0,2,1,3804,0,1,0.05531016974379423,40,3.308062222392624e-23,5555555555.555555,1.5228160928206623e-14,1000000000000.0,1000000000000.0,0.0005987445183220907,1.0,49.89537652684091,0.00014991623455953818,-1.0024493102302374e-05,11298284607.135061,2500.0,0.0,0.0,4.5917748078995606e-33,4.5917748078995606e-33,0.0,0.0,0
0.0,-1.250743821884787e-18,0.6931471805599453,0.0,0.5,2.550275520613287e-05,2.5502755206132875e-06,0.0,False,6,False,shielded,v9_four_class_stateful_PD_shared_root_m1_marked_embryo_v1,nan,nan,1.02181126596808,nan,nan,nan,1.9807425208962006,nan,nan,nan,1000001.021811266,5.6428518958962,nan,2.44140625,2.0,0.001,1.0,emission,352563.0211119992,3.3089758675029745e-25,1.3553565153292184e-25,2.0180510680287567,7.648076082220616e-25,custom,False,2.0336912292843112,,terminate,False,nan,1.0,0.0,0.0,0.0,1,stopped_stable_seed,1.6619362324300693,nan,nan,nan,5000,1.0,inf,False,0,0.0,1.0,0.0,3.811417847998655e-11,0,3.4420145642264124e-30,0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,0.0,0.0,inf,1.973861858089274e-15,2.6237433427171984e-15,9.971641334024349e-12,False,11211394822.38198,0.008267468156596756,0.9091182969334781,3741.9095810948684,0.09019327884572406,0.8189250180877538,0,0,0,0,1.5611578615626342e-11,0,0,False,0,2.8818139946154977e-05,False,False,False,False,False,False,False,False,False,False,False,0.014011581794769534,283.7171430623155,2664329.246992039,0,0.0,False,264,0,0,1,3804,0,1,0.07506586517673655,79,5.830773734061997e-23,5555555555.555555,2.682931859109621e-14,1000000000000.0,1000000000000.0,0.0005987445183220907,1.0,49.89537652684091,0.00014991623455953818,-1.0024493102302374e-05,11298284607.135061,2500.0,0.0,0.0,1.8367099231598242e-32,1.8367099231598242e-32,0.0,0.0,0
0.0,-2.3265080283392147e-18,0.6931471805599453,0.0,0.5,2.550275520613287e-05,2.5502755206132875e-06,0.0,False,7,False,shielded,v9_four_class_stateful_PD_shared_root_m1_marked_embryo_v1,nan,nan,1.02181126596808,nan,nan,nan,1.9807425208962006,nan,nan,nan,1000001.021811266,10.5256643958962,nan,4.8828125,2.0,0.001,1.0,emission,352563.0211119992,6.61795173500595e-25,1.3553565153292184e-25,2.0180510680287567,1.4266027817226565e-24,custom,False,2.0336912292843112,,terminate,False,nan,1.0,0.0,0.0,0.0,1,stopped_stable_seed,1.6619362324300693,nan,nan,nan,5000,1.0,inf,False,0,0.0,1.0,0.0,2.667986942396774e-10,0,3.471428618494404e-30,0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,0.0,0.0,inf,1.973861858089274e-15,2.6349302148233077e-15,9.971641334024349e-12,False,11211394822.38198,0.0007195869329999901,0.9091182969334781,3741.9095810948684,0.00785027576429443,0.9012680211691834,0,0,0,0,4.6834592731137547e-11,0,0,False,0,6.724103467945733e-05,False,False,False,False,False,False,False,False,False,False,False,0.0041337340782983765,283.7171430623155,2664329.246992039,0,0.0,False,264,0,0,1,3804,0,1,0.08261374640033331,157,1.087619675740074e-22,5555555555.555555,5.0031899033912166e-14,1000000000000.0,1000000000000.0,0.0005987445183220907,1.0,49.89537652684091,0.00014991623455953818,-1.0024493102302374e-05,11298284607.135061,2500.0,0.0,0.0,5.510129769479473e-32,5.510129769479473e-32,0.0,0.0,0
0.0,-4.478414152595277e-18,0.6931471805599453,0.0,0.5,2.550275520613287e-05,2.5502755206132875e-06,0.0,False,8,False,shielded,v9_four_class_stateful_PD_shared_root_m1_marked_embryo_v1,nan,nan,1.02181126596808,nan,nan,nan,1.9807425208962006,nan,nan,nan,1000001.021811266,20.2912893958962,nan,9.765625,2.0,0.001,1.0,emission,352563.0211119992,1.3235903470011898e-24,1.3553565153292184e-25,2.0180510680287567,2.7501931287238463e-24,custom,False,2.0336912292843112,,terminate,False,nan,1.0,0.0,0.0,0.0,1,stopped_stable_seed,1.6619362324300693,nan,nan,nan,5000,1.0,inf,False,0,0.0,1.0,0.0,1.3339866985880768e-09,0,3.4716285715631835e-30,0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,0.0,0.0,inf,1.973861858089274e-15,2.6350060992579052e-15,9.971641334024349e-12,False,11211394822.38198,5.451358497512125e-06,0.9091182969334781,3741.9095810948684,5.947115703878481e-05,0.9090588257764389,0,0,0,0,1.0928004851162853e-10,0,0,False,0,0.00014408239511856658,False,False,False,False,False,False,False,False,False,False,False,0.0003597934664999949,283.7171430623155,2664329.246992039,0,0.0,False,264,0,0,1,3804,0,1,0.08332788197483579,314,2.0967042804078231e-22,5555555555.555555,9.64386513990364e-14,1000000000000.0,1000000000000.0,0.0005987445183220907,1.0,49.89537652684091,0.00014991623455953818,-1.0024493102302374e-05,11298284607.135061,2500.0,0.0,0.0,2.571393892423754e-31,2.571393892423754e-31,0.0,0.0,0
0.0,-8.781596399673365e-18,0.6931471805599453,0.0,0.5,2.550275520613287e-05,2.5502755206132875e-06,0.0,False,9,False,shielded,v9_four_class_stateful_PD_shared_root_m1_marked_embryo_v1,nan,nan,1.02181126596808,nan,nan,nan,1.9807425208962006,nan,nan,nan,1000001.021811266,39.8225393958962,nan,19.53125,2.0,0.001,1.0,emission,352563.0211119992,2.64718069400238e-24,1.3553565153292184e-25,2.0180510680287567,5.397373822726226e-24,custom,False,2.0336912292843112,,terminate,False,nan,1.0,0.0,0.0,0.0,1,stopped_stable_seed,1.6619362324300693,nan,nan,nan,5000,1.0,inf,False,0,0.0,1.0,0.0,5.907593519083634e-09,0,3.4716285806415285e-30,0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,0.0,0.0,inf,1.973861858089274e-15,2.6350061027031894e-15,9.971641334024349e-12,False,11211394822.38198,3.1285830900913214e-10,0.9091182969334781,3741.9095810948684,3.4131025568144406e-09,0.9091182935203752,0,0,0,0,2.341686704232515e-10,0,0,False,0,0.0002977474014754502,False,False,False,False,False,False,False,False,False,False,False,7.868252965648245e-06,283.7171430623155,2664329.246992039,0,0.0,False,264,0,0,1,3804,0,1,0.08333333302047499,626,4.1148734897433213e-22,5555555555.555555,1.8925057187814775e-13,1000000000000.0,1000000000000.0,0.0005987445183220907,1.0,49.89537652684091,0.00014991623455953818,-1.0024493102302374e-05,11298284607.135061,2500.0,0.0,0.0,1.0285575569695016e-30,1.0285575569695016e-30,0.0,0.0,0
0.0,-1.7388959611021624e-17,0.6931471805599453,0.0,0.5,2.550275520613287e-05,2.5502755206132875e-06,0.0,False,10,False,shielded,v9_four_class_stateful_PD_shared_root_m1_marked_embryo_v1,nan,nan,1.02181126596808,nan,nan,nan,1.9807425208962006,nan,nan,nan,1000001.021811266,78.8850393958962,nan,39.0625,2.0,0.001,1.0,emission,352563.0211119992,5.294361388004759e-24,1.3553565153292184e-25,2.0180510680287567,1.0691735210730985e-23,custom,False,2.0336912292843112,,terminate,False,nan,1.0,0.0,0.0,0.0,1,stopped_stable_seed,1.6619362324300693,nan,nan,nan,5000,1.0,inf,False,0,0.0,1.0,0.0,2.4811372838108994e-08,0,3.4716285806415285e-30,0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,0.0,0.0,inf,1.973861858089274e-15,2.6350061027031894e-15,9.971641334024349e-12,False,11211394822.38198,1.0304657798582807e-18,0.9091182969334781,3741.9095810948684,1.1241783537995862e-17,0.9091182969334778,0,0,0,0,4.839367568090225e-10,0,0,False,0,0.0006050065688081271,False,False,False,False,False,False,False,False,False,False,False,7.867043716274715e-06,283.7171430623155,2664329.246992039,0,0.0,False,264,0,0,1,3804,0,1,0.0833333333333333,69,8.1512119084143175e-22,5555555555.555555,3.7487379947973775e-13,1000000000000.0,1000000000000.0,0.0005987445183220907,1.0,49.89537652684091,0.00014991623455953818,-1.0024493102302374e-05,11298284607.135061,2500.0,0.0,0.0,4.261167021730792e-30,4.261167021730792e-30,0.0,0.0,0
